Ar+17        18        18      35699910.1
    1 11                  (0)0(     0.5)            0.0
    2 12                  (0)0(     0.5)     26771469.0
    3 13                  (0)0(     2.5)     26797092.7
    4 14                  (0)0(     0.5)     31740613.6
    5 15                  (0)0(     2.5)     31748218.4
    6 16                  (0)0(     4.5)     31754308.8
    7 17                  (0)0(     0.5)     33478259.2
    8 18                  (0)0(     2.5)     33481474.5
    9 19                  (0)0(     4.5)     33484042.4
   10 1B                  (0)0(     0.5)     34281887.1
   11 1C                  (0)0(     2.5)     34283522.2
   12 1D                  (0)0(     4.5)     34284839.0
   13 1G                  (0)0(     0.5)     34718136.6
   14 1H                  (0)0(     2.5)     34719080.3
   15 1I                  (0)0(     4.5)     34719848.5
   -1    325.398 81.4380 81.2046 36.1558 36.0866 36.0311 20.3212 20.2920 20.2685    0.0  12.9981 12.9831 12.9711    0.0     0.0  9.02270 9.01400 9.00710
 18.0    3         6.48+04 9.72+04 1.62+05 3.24+05 6.48+05 1.62+06 3.24+06 4.86+06 6.48+06 9.72+06 1.62+07 3.24+07 6.48+07 9.72+07
    2    1 1.00-30 2.25-03 2.25-03 2.25-03 2.25-03 2.25-03 2.25-03 2.25-03 2.26-03 2.26-03 2.27-03 2.28-03 2.32-03 2.38-03 2.43-03
   10    8 6.98+10 8.67-02 8.68-02 8.71-02 8.79-02 9.02-02 1.00-01 1.20-01 1.38-01 1.56-01 1.86-01 2.33-01 3.12-01 4.07-01 4.68-01
   11    8 1.56+07 8.17-01 8.20-01 8.25-01 8.39-01 8.68-01 9.45-01 1.03+00 1.09+00 1.13+00 1.18+00 1.24+00 1.32+00 1.37+00 1.40+00
   12    8 1.56+11 4.48-01 4.51-01 4.60-01 4.85-01 5.48-01 7.60-01 1.09+00 1.38+00 1.63+00 2.05+00 2.66+00 3.65+00 4.78+00 5.50+00
   13    8 3.87+10 2.12-02 2.12-02 2.13-02 2.13-02 2.16-02 2.28-02 2.51-02 2.75-02 2.98-02 3.39-02 4.05-02 5.18-02 6.56-02 7.45-02
   14    8 1.02+07 1.71-01 1.71-01 1.72-01 1.74-01 1.77-01 1.86-01 1.97-01 2.05-01 2.11-01 2.20-01 2.29-01 2.41-01 2.50-01 2.54-01
   15    8 9.07+10 1.25-01 1.26-01 1.27-01 1.30-01 1.39-01 1.69-01 2.17-01 2.61-01 2.99-01 3.63-01 4.60-01 6.16-01 7.95-01 9.08-01
   10    9 1.12+07 4.67-02 4.68-02 4.70-02 4.76-02 4.88-02 5.22-02 5.62-02 5.90-02 6.10-02 6.38-02 6.70-02 7.08-02 7.39-02 7.52-02
   11    9 2.04+10 1.68-01 1.68-01 1.68-01 1.69-01 1.70-01 1.76-01 1.91-01 2.05-01 2.19-01 2.43-01 2.83-01 3.50-01 4.31-01 4.83-01
   12    9 9.06+06 1.31+00 1.31+00 1.32+00 1.34+00 1.38+00 1.48+00 1.60+00 1.68+00 1.73+00 1.80+00 1.88+00 1.98+00 2.05+00 2.08+00
   13    9 8.00+06 1.25-02 1.25-02 1.26-02 1.26-02 1.28-02 1.33-02 1.38-02 1.43-02 1.46-02 1.50-02 1.56-02 1.62-02 1.67-02 1.70-02
   14    9 1.02+10 4.14-02 4.14-02 4.14-02 4.14-02 4.16-02 4.22-02 4.36-02 4.52-02 4.68-02 4.97-02 5.45-02 6.30-02 7.36-02 8.05-02
   15    9 5.45+06 2.69-01 2.69-01 2.70-01 2.71-01 2.76-01 2.87-01 3.01-01 3.11-01 3.19-01 3.29-01 3.40-01 3.54-01 3.65-01 3.70-01
   11   10 1.23+04 8.24+01 8.75+01 9.38+01 1.02+02 1.10+02 1.20+02 1.30+02 1.36+02 1.41+02 1.48+02 1.56+02 1.69+02 1.82+02 1.89+02
   12   10 9.38-05 2.30+00 2.59+00 2.89+00 3.19+00 3.42+00 3.57+00 3.58+00 3.58+00 3.58+00 3.58+00 3.59+00 3.59+00 3.59+00 3.59+00
   13   10 1.00-30 4.52-01 4.55-01 4.63-01 4.82-01 5.17-01 5.93-01 6.63-01 7.03-01 7.30-01 7.65-01 8.04-01 8.48-01 8.78-01 8.90-01
   14   10 2.54+10 1.75-01 1.77-01 1.83-01 2.01-01 2.48-01 4.10-01 6.55-01 8.58-01 1.03+00 1.30+00 1.71+00 2.34+00 3.05+00 3.50+00
   15   10 4.01+06 5.00-01 5.04-01 5.14-01 5.40-01 5.90-01 6.99-01 8.01-01 8.60-01 8.99-01 9.51-01 1.01+00 1.08+00 1.12+00 1.14+00
   12   11 6.74+03 1.53+02 1.62+02 1.73+02 1.88+02 2.02+02 2.22+02 2.39+02 2.51+02 2.59+02 2.71+02 2.87+02 3.10+02 3.33+02 3.47+02
   13   11 2.89+10 1.93-01 1.93-01 1.94-01 1.97-01 2.08-01 2.53-01 3.30-01 3.98-01 4.57-01 5.54-01 6.99-01 9.31-01 1.20+00 1.37+00
   14   11 3.87+06 1.64+00 1.65+00 1.68+00 1.75+00 1.88+00 2.16+00 2.41+00 2.56+00 2.66+00 2.79+00 2.94+00 3.10+00 3.21+00 3.26+00
   15   11 4.71+10 5.17-01 5.27-01 5.52-01 6.30-01 8.18-01 1.41+00 2.27+00 2.95+00 3.52+00 4.43+00 5.73+00 7.76+00 1.00+01 1.14+01
   13   12 3.71+06 1.16-01 1.17-01 1.18-01 1.22-01 1.29-01 1.45-01 1.62-01 1.72-01 1.79-01 1.87-01 1.97-01 2.09-01 2.17-01 2.21-01
   14   12 1.03+10 4.02-01 4.02-01 4.02-01 4.04-01 4.13-01 4.52-01 5.25-01 5.92-01 6.52-01 7.51-01 9.01-01 1.14+00 1.43+00 1.60+00
   15   12 2.45+06 2.69+00 2.70+00 2.74+00 2.84+00 3.03+00 3.44+00 3.80+00 4.01+00 4.15+00 4.34+00 4.55+00 4.77+00 4.93+00 4.99+00
   14   13 4.95+03 1.84+02 1.94+02 2.07+02 2.23+02 2.40+02 2.64+02 2.86+02 3.00+02 3.10+02 3.24+02 3.43+02 3.70+02 3.97+02 4.13+02
   15   13 2.84-05 6.23+00 6.67+00 7.11+00 7.59+00 7.86+00 7.91+00 7.92+00 7.93+00 7.93+00 7.93+00 7.94+00 7.94+00 7.94+00 7.94+00
   15   14 2.94+03 3.56+02 3.75+02 3.98+02 4.28+02 4.58+02 5.05+02 5.49+02 5.75+02 5.94+02 6.20+02 6.57+02 7.07+02 7.58+02 7.87+02
   -1
   -1   -1
C--------------------------------------------------------------------------------
C
C   Atomic Structure from Cowan Atomic Structure Program
C
C--------------------------------------------------------------------------------
C
C   Code     : ADAS8XX_CREATE_CA_ADF04
C   Producer : Adam Foster
C   Date     : 13/05/09
C--------------------------------------------------------------------------------
C
C   Correct the orbital energy line to insert 0.0 for orbitals not present
C   in the set of configurations.
C
C   Martin O'Mullane
C   29-11-2011
C
C-------------------------------------------------------------------------------

C-----------------------------------------------------------------------
C                               OPEN-ADAS
C                               +++++++++
C
C This file has been downloaded from OPEN-ADAS (http://open.adas.ac.uk)
C on 09-Jul-2013.
C
C TERMS AND CONDITIONS
C --------------------
C
C The user of the OPEN-ADAS system and data (hereinafter "the User")
C accepts the following terms and conditions:
C
C   1. The University of Strathclyde uses all reasonable endeavours to
C      ensure the accuracy of the data provided and any information
C      given, but the University makes no warranty, expressed or implied
C      as to its accuracy, integrity, fitness for purpose and shall not
C      be responsible for the use to which the data is put by the User
C      and/or any consequences arising out of any inaccuracies or
C      omissions.
C
C   2. Any downloaded OPEN-ADAS file is made available for the
C      personal use of the User only.  It must not be used for any
C      commercial application, incorporated into any web site or in
C      any form re-distributed without express prior written permission
C      from the ADAS Project. In particular, but not by way of
C      limitation, it must not be:
C        *  inserted into a managed database structure,
C        *  redistributed along with a modelling or analysis code,
C        *  made available on a public website.
C
C Permission for OPEN-ADAS data incorporation in non-commercial
C code/system development for scientific advance will not be
C unreasonably withheld, but will be subject to written agreement
C on a case by case basis.
C
C The User will indemnify the University of Strathclyde and keep it
C fully and effectively indemnified against each and every claim made
C against the University as a result of the User's use of the data.
C
C-----------------------------------------------------------------------
