Fe+16        26        17      10180000.(2P)
  10   1 0.00+00 2.03-02 1.92-02 1.49-02 1.13-02 8.25-03 5.51-03 4.39-03 3.87-03 0.00+00
  11   1 0.00+00 2.70-02 2.07-02 1.40-02 1.02-02 7.46-03 5.10-03 4.12-03 3.61-03 0.00+00
  12   1 0.00+00 3.34-02 2.54-02 1.63-02 1.10-02 7.09-03 3.86-03 2.39-03 1.46-03 0.00+00
  13   1 0.00+00 3.81-02 2.93-02 1.87-02 1.25-02 8.10-03 4.38-03 2.68-03 1.62-03 0.00+00
  14   1 0.00+00 3.83-02 3.15-02 2.13-02 1.49-02 1.04-02 6.74-03 5.27-03 4.55-03 0.00+00
  15   1 0.00+00 6.34-02 5.84-02 5.16-02 4.75-02 4.49-02 4.38-02 4.45-02 4.59-02 0.00+00
  16   1 0.00+00 4.02-03 3.49-03 3.10-03 2.85-03 2.47-03 1.83-03 1.34-03 9.16-04 0.00+00
  17   1 9.80+10 1.16-02 1.01-02 9.05-03 8.43-03 7.41-03 5.67-03 4.39-03 3.37-03 7.17-04
  18   1 0.00+00 1.60-02 1.36-02 1.23-02 1.14-02 9.85-03 7.21-03 5.22-03 3.54-03 0.00+00
  19   1 0.00+00 1.10-02 1.06-02 1.09-02 1.05-02 9.09-03 6.55-03 4.66-03 3.10-03 0.00+00
  20   1 0.00+00 1.05-02 9.59-03 9.19-03 8.60-03 7.40-03 5.56-03 4.45-03 3.69-03 0.00+00
  21   1 0.00+00 6.47-03 6.22-03 6.55-03 6.28-03 5.23-03 3.47-03 2.33-03 1.47-03 0.00+00
  22   1 0.00+00 5.43-03 5.83-03 6.88-03 6.89-03 6.01-03 4.52-03 3.74-03 3.31-03 0.00+00
  23   1 6.09+12 2.40-02 2.46-02 2.65-02 2.79-02 2.90-02 3.25-02 3.85-02 4.84-02 4.29-02
  24   1 0.00+00 6.85-03 6.55-03 6.56-03 6.17-03 5.18-03 3.55-03 2.44-03 1.58-03 0.00+00
  25   1 0.00+00 9.99-03 9.19-03 9.12-03 8.57-03 7.16-03 4.84-03 3.30-03 2.13-03 0.00+00
  26   1 0.00+00 6.91-03 7.49-03 8.28-03 7.99-03 6.87-03 5.18-03 4.26-03 3.72-03 0.00+00
  27   1 2.46+13 7.93-02 8.08-02 8.47-02 8.90-02 9.57-02 1.14-01 1.40-01 1.79-01 1.64-01
  28   1 0.00+00 1.71-02 1.30-02 8.35-03 5.65-03 3.68-03 2.01-03 1.25-03 7.69-04 0.00+00
  29   1 0.00+00 1.90-02 1.86-02 1.75-02 1.68-02 1.64-02 1.65-02 1.71-02 1.78-02 0.00+00
  30   1 0.00+00 2.58-03 2.00-03 1.32-03 9.33-04 6.48-04 3.93-04 2.64-04 1.74-04 0.00+00
  31   1 4.22+11 9.45-03 7.24-03 4.79-03 3.43-03 2.47-03 1.75-03 1.57-03 1.70-03 2.22-03
  32   1 0.00+00 1.49-02 1.07-02 6.84-03 4.79-03 3.31-03 1.99-03 1.33-03 8.74-04 0.00+00
  33   1 3.35+12 1.14-02 1.00-02 7.67-03 6.04-03 5.01-03 5.04-03 6.48-03 9.44-03 1.74-02
  34   1 0.00+00 2.28-03 2.36-03 2.55-03 2.45-03 2.14-03 1.60-03 1.19-03 8.32-04 0.00+00
  35   1 0.00+00 3.83-03 3.94-03 4.25-03 4.09-03 3.58-03 2.70-03 2.02-03 1.43-03 0.00+00
  36   1 0.00+00 5.17-03 5.28-03 5.65-03 5.48-03 4.86-03 3.67-03 2.74-03 1.92-03 0.00+00
  37   1 0.00+00 1.30-02 1.34-02 1.42-02 1.48-02 1.59-02 1.86-02 2.22-02 2.65-02 0.00+00
  38   1 0.00+00 1.13-02 8.71-03 5.33-03 3.46-03 2.20-03 1.20-03 7.60-04 4.75-04 0.00+00
  39   1 3.49+11 1.25-02 9.88-03 6.33-03 4.20-03 2.68-03 1.56-03 1.23-03 1.23-03 1.41-03
  40   1 0.00+00 7.65-03 5.88-03 3.82-03 2.73-03 1.97-03 1.28-03 9.11-04 6.28-04 0.00+00
  41   1 0.00+00 1.91-03 1.55-03 9.81-04 6.47-04 4.16-04 2.31-04 1.47-04 9.26-05 0.00+00
  42   1 2.47+11 1.15-02 9.40-03 5.94-03 3.84-03 2.40-03 1.35-03 1.01-03 9.35-04 9.60-04
  43   1 0.00+00 9.50-03 7.13-03 4.53-03 3.16-03 2.21-03 1.45-03 1.10-03 8.95-04 0.00+00
  44   1 0.00+00 1.06-02 8.08-03 5.31-03 3.82-03 2.75-03 1.78-03 1.25-03 8.44-04 0.00+00
  45   1 0.00+00 6.20-03 4.74-03 3.04-03 2.09-03 1.42-03 8.53-04 5.71-04 3.74-04 0.00+00
  46   1 0.00+00 7.67-03 5.85-03 3.77-03 2.64-03 1.84-03 1.19-03 9.10-04 7.46-04 0.00+00
  47   1 0.00+00 8.60-03 7.47-03 6.20-03 5.50-03 5.04-03 4.82-03 4.86-03 5.00-03 0.00+00
  48   1 0.00+00 4.51-03 3.60-03 2.43-03 1.75-03 1.25-03 7.95-04 5.50-04 3.70-04 0.00+00
  49   1 0.00+00 5.43-03 4.21-03 2.79-03 1.98-03 1.40-03 8.76-04 6.04-04 4.05-04 0.00+00
  50   1 0.00+00 8.12-03 6.16-03 4.06-03 2.91-03 2.08-03 1.38-03 1.07-03 8.81-04 0.00+00
  51   1 0.00+00 1.21-03 1.10-03 9.95-04 8.88-04 7.59-04 5.72-04 4.28-04 3.00-04 0.00+00
  52   1 5.78+10 3.62-03 3.23-03 2.89-03 2.56-03 2.20-03 1.71-03 1.35-03 1.06-03 2.14-04
  53   1 0.00+00 4.60-03 4.43-03 4.10-03 3.61-03 3.01-03 2.19-03 1.59-03 1.08-03 0.00+00
  54   1 0.00+00 4.20-03 3.96-03 3.65-03 3.23-03 2.71-03 1.99-03 1.47-03 1.01-03 0.00+00
  55   1 0.00+00 3.45-03 3.28-03 3.01-03 2.59-03 2.11-03 1.55-03 1.22-03 9.79-04 0.00+00
  56   1 0.00+00 1.17-02 1.08-02 9.64-03 9.02-03 8.66-03 8.63-03 8.88-03 9.23-03 0.00+00
  57   1 0.00+00 2.81-03 2.76-03 2.55-03 2.14-03 1.66-03 1.10-03 7.55-04 4.92-04 0.00+00
  58   1 0.00+00 2.40-03 2.46-03 2.38-03 2.05-03 1.63-03 1.16-03 9.07-04 7.46-04 0.00+00
  59   1 5.81+12 1.38-02 1.45-02 1.52-02 1.54-02 1.59-02 1.79-02 2.12-02 2.62-02 2.12-02
  60   1 0.00+00 6.40-04 7.10-04 6.81-04 5.69-04 4.33-04 2.75-04 1.83-04 1.15-04 0.00+00
  61   1 0.00+00 8.98-04 1.03-03 1.04-03 8.84-04 6.78-04 4.62-04 3.60-04 3.03-04 0.00+00
  62   1 0.00+00 1.03-03 1.14-03 1.14-03 9.74-04 7.52-04 4.82-04 3.20-04 2.01-04 0.00+00
  63   1 0.00+00 1.55-03 1.67-03 1.59-03 1.36-03 1.10-03 8.79-04 8.19-04 8.31-04 0.00+00
  64   1 0.00+00 1.00-03 1.14-03 1.13-03 9.38-04 6.97-04 4.26-04 2.75-04 1.69-04 0.00+00
  65   1 0.00+00 1.97-03 2.04-03 1.88-03 1.63-03 1.42-03 1.35-03 1.48-03 1.71-03 0.00+00
  66   1 0.00+00 8.90-04 9.88-04 9.15-04 7.28-04 5.20-04 3.02-04 1.89-04 1.14-04 0.00+00
  67   1 0.00+00 7.17-04 8.37-04 8.55-04 7.14-04 5.28-04 3.25-04 2.23-04 1.59-04 0.00+00
  68   1 0.00+00 2.43-03 2.45-03 2.35-03 2.05-03 1.67-03 1.18-03 8.41-04 5.66-04 0.00+00
  69   1 0.00+00 3.41-03 3.43-03 3.26-03 2.85-03 2.33-03 1.67-03 1.21-03 8.24-04 0.00+00
  70   1 0.00+00 2.64-03 2.89-03 2.88-03 2.50-03 2.01-03 1.44-03 1.13-03 9.17-04 0.00+00
  71   1 6.96+12 1.55-02 1.63-02 1.70-02 1.72-02 1.78-02 2.02-02 2.40-02 2.98-02 2.46-02
  72   1 0.00+00 7.30-04 8.70-04 8.52-04 6.94-04 5.09-04 3.07-04 1.97-04 1.21-04 0.00+00
  73   1 0.00+00 8.64-04 1.07-03 1.11-03 9.28-04 6.85-04 4.30-04 3.08-04 2.35-04 0.00+00
  74   1 0.00+00 1.18-03 1.39-03 1.31-03 1.05-03 7.66-04 4.64-04 3.00-04 1.85-04 0.00+00
  75   1 0.00+00 1.48-03 1.74-03 1.68-03 1.43-03 1.18-03 1.02-03 1.05-03 1.17-03 0.00+00
  76   1 0.00+00 3.92-03 2.65-03 1.47-03 9.58-04 6.51-04 4.06-04 2.81-04 1.89-04 0.00+00
  77   1 2.34+11 4.17-03 2.81-03 1.49-03 9.21-04 6.07-04 4.23-04 3.96-04 4.49-04 6.91-04
  78   1 0.00+00 2.30-03 1.68-03 1.13-03 8.75-04 7.00-04 5.14-04 3.87-04 2.77-04 0.00+00
  79   1 0.00+00 3.19-03 2.18-03 1.32-03 9.56-04 7.37-04 5.58-04 4.66-04 4.04-04 0.00+00
  80   1 0.00+00 3.41-03 2.44-03 1.60-03 1.23-03 9.72-04 7.04-04 5.22-04 3.66-04 0.00+00
  81   1 0.00+00 1.90-03 1.33-03 8.08-04 5.81-04 4.36-04 3.01-04 2.20-04 1.53-04 0.00+00
  82   1 0.00+00 2.55-03 1.75-03 1.06-03 7.67-04 5.92-04 4.49-04 3.77-04 3.30-04 0.00+00
  83   1 0.00+00 4.06-03 3.55-03 3.13-03 2.97-03 2.91-03 2.94-03 3.03-03 3.15-03 0.00+00
  84   1 0.00+00 4.90-04 3.40-04 2.06-04 1.47-04 1.09-04 7.46-05 5.37-05 3.69-05 0.00+00
  85   1 2.80+11 3.23-03 2.17-03 1.21-03 8.15-04 5.98-04 4.81-04 4.84-04 5.64-04 8.00-04
  86   1 0.00+00 4.38-04 3.97-04 3.58-04 3.31-04 2.98-04 2.39-04 1.84-04 1.32-04 0.00+00
  87   1 2.00+10 1.32-03 1.16-03 1.01-03 9.28-04 8.36-04 6.82-04 5.47-04 4.25-04 5.68-05
  88   1 0.00+00 1.69-03 1.56-03 1.43-03 1.33-03 1.19-03 9.33-04 7.04-04 4.92-04 0.00+00
  89   1 0.00+00 1.47-03 1.34-03 1.21-03 1.12-03 1.00-03 7.92-04 6.03-04 4.27-04 0.00+00
  90   1 0.00+00 1.21-03 1.04-03 8.94-04 8.09-04 7.21-04 5.87-04 4.82-04 3.95-04 0.00+00
  91   1 0.00+00 9.41-04 8.11-04 6.96-04 6.23-04 5.42-04 4.11-04 3.02-04 2.05-04 0.00+00
  92   1 0.00+00 8.27-04 7.35-04 6.48-04 5.91-04 5.27-04 4.26-04 3.51-04 2.92-04 0.00+00
  93   1 4.20+12 7.47-03 7.44-03 7.58-03 7.87-03 8.42-03 9.83-03 1.17-02 1.44-02 1.19-02
  94   1 0.00+00 3.90-04 3.42-04 2.99-04 2.70-04 2.35-04 1.77-04 1.29-04 8.73-05 0.00+00
  95   1 0.00+00 7.42-04 6.58-04 5.90-04 5.52-04 5.18-04 4.82-04 4.76-04 4.92-04 0.00+00
  96   1 0.00+00 4.92-04 4.48-04 4.03-04 3.66-04 3.17-04 2.35-04 1.68-04 1.12-04 0.00+00
  97   1 0.00+00 3.81-04 3.30-04 2.88-04 2.62-04 2.35-04 1.97-04 1.73-04 1.57-04 0.00+00
  98   1 0.00+00 4.56-04 4.17-04 3.76-04 3.41-04 2.96-04 2.20-04 1.59-04 1.06-04 0.00+00
  99   1 0.00+00 8.54-04 7.92-04 7.50-04 7.44-04 7.68-04 8.78-04 1.04-03 1.26-03 0.00+00
 100   1 0.00+00 2.66-04 2.36-04 2.06-04 1.84-04 1.57-04 1.13-04 7.94-05 5.15-05 0.00+00
 101   1 0.00+00 8.62-05 6.56-05 4.91-05 4.02-05 3.23-05 2.22-05 1.53-05 9.79-06 0.00+00
 102   1 0.00+00 2.61-04 2.39-04 2.14-04 1.94-04 1.70-04 1.30-04 1.02-04 7.96-05 0.00+00
 103   1 0.00+00 1.11-04 9.71-05 8.29-05 7.40-05 6.62-05 5.86-05 5.60-05 5.59-05 0.00+00
 104   1 0.00+00 4.28-05 3.67-05 3.02-05 2.61-05 2.22-05 1.70-05 1.37-05 1.15-05 0.00+00
 105   1 0.00+00 4.42-05 3.96-05 3.38-05 2.93-05 2.43-05 1.69-05 1.17-05 7.52-06 0.00+00
 106   1 0.00+00 6.54-05 5.73-05 4.87-05 4.36-05 3.96-05 3.64-05 3.62-05 3.75-05 0.00+00
 107   1 0.00+00 5.37-05 4.83-05 4.13-05 3.57-05 2.94-05 2.05-05 1.41-05 9.01-06 0.00+00
 108   1 0.00+00 2.99-05 2.50-05 1.98-05 1.64-05 1.31-05 8.81-06 5.91-06 3.67-06 0.00+00
 109   1 0.00+00 2.94-05 2.53-05 2.06-05 1.74-05 1.43-05 1.01-05 7.31-06 5.25-06 0.00+00
 110   1 0.00+00 1.32-03 9.79-04 6.61-04 5.13-04 4.10-04 2.99-04 2.23-04 1.58-04 0.00+00
 111   1 0.00+00 1.26-03 9.66-04 6.95-04 5.65-04 4.67-04 3.51-04 2.65-04 1.89-04 0.00+00
 112   1 0.00+00 2.14-03 1.52-03 9.94-04 7.68-04 6.22-04 4.88-04 4.11-04 3.55-04 0.00+00
 113   1 0.00+00 3.11-03 2.75-03 2.43-03 2.31-03 2.26-03 2.27-03 2.34-03 2.42-03 0.00+00
 114   1 0.00+00 1.71-03 1.31-03 8.33-04 5.87-04 4.25-04 2.80-04 1.99-04 1.36-04 0.00+00
 115   1 0.00+00 8.74-04 8.11-04 7.47-04 6.93-04 6.20-04 4.85-04 3.65-04 2.54-04 0.00+00
 116   1 0.00+00 1.22-03 1.14-03 1.06-03 9.92-04 8.95-04 7.09-04 5.40-04 3.81-04 0.00+00
 117   1 0.00+00 8.71-04 8.11-04 7.51-04 7.03-04 6.39-04 5.27-04 4.37-04 3.62-04 0.00+00
 118   1 3.47+12 5.76-03 5.76-03 5.87-03 6.09-03 6.51-03 7.58-03 9.00-03 1.11-02 9.46-03
 119   1 0.00+00 4.96-03 4.79-03 4.54-03 4.43-03 4.43-03 4.58-03 4.79-03 5.04-03 0.00+00
 120   1 0.00+00 2.46-04 2.36-04 2.21-04 2.04-04 1.78-04 1.32-04 9.44-05 6.25-05 0.00+00
 121   1 0.00+00 4.23-04 4.13-04 3.90-04 3.62-04 3.19-04 2.40-04 1.74-04 1.17-04 0.00+00
 122   1 0.00+00 2.58-04 2.50-04 2.37-04 2.22-04 2.00-04 1.63-04 1.36-04 1.16-04 0.00+00
 123   1 0.00+00 5.56-04 5.54-04 5.49-04 5.48-04 5.57-04 6.06-04 6.92-04 8.09-04 0.00+00
 124   1 0.00+00 5.88-05 5.67-05 5.28-05 4.92-05 4.58-05 4.28-05 4.28-05 4.45-05 0.00+00
 125   1 0.00+00 5.45-05 5.22-05 4.73-05 4.21-05 3.55-05 2.51-05 1.75-05 1.12-05 0.00+00
 126   1 0.00+00 2.11-05 2.03-05 1.86-05 1.67-05 1.40-05 9.88-06 6.81-06 4.35-06 0.00+00
 127   1 0.00+00 2.44-05 2.36-05 2.18-05 1.98-05 1.71-05 1.30-05 1.01-05 8.00-06 0.00+00
 128   1 0.00+00 2.95-04 2.49-04 1.87-04 1.52-04 1.24-04 9.32-05 7.05-05 5.04-05 0.00+00
 129   1 2.57+11 1.09-03 8.95-04 6.68-04 5.54-04 4.82-04 4.35-04 4.41-04 5.02-04 6.81-04
 130   1 0.00+00 1.55-03 1.28-03 9.38-04 7.55-04 6.17-04 4.61-04 3.49-04 2.50-04 0.00+00
 131   1 1.76+12 1.55-03 1.37-03 1.15-03 1.06-03 1.08-03 1.33-03 1.76-03 2.53-03 4.64-03
 132   1 0.00+00 6.89-04 6.59-04 6.20-04 5.86-04 5.37-04 4.38-04 3.43-04 2.51-04 0.00+00
 133   1 0.00+00 1.17-03 1.11-03 1.04-03 9.82-04 9.00-04 7.37-04 5.82-04 4.32-04 0.00+00
 134   1 0.00+00 1.61-03 1.53-03 1.44-03 1.36-03 1.24-03 1.01-03 7.94-04 5.80-04 0.00+00
 135   1 0.00+00 2.91-03 2.92-03 2.99-03 3.12-03 3.37-03 3.97-03 4.69-03 5.52-03 0.00+00
 136   1 0.00+00 2.67-04 2.63-04 2.52-04 2.36-04 2.11-04 1.62-04 1.20-04 8.23-05 0.00+00
 137   1 0.00+00 3.75-04 3.70-04 3.56-04 3.35-04 3.02-04 2.40-04 1.87-04 1.40-04 0.00+00
 138   1 0.00+00 4.76-04 4.69-04 4.49-04 4.21-04 3.76-04 2.89-04 2.14-04 1.47-04 0.00+00
 139   1 0.00+00 4.84-04 4.88-04 5.01-04 5.24-04 5.67-04 6.76-04 8.02-04 9.43-04 0.00+00
   3   2 0.00+00 1.51+00 1.35+00 9.01-01 5.76-01 3.44-01 1.67-01 9.64-02 5.67-02 0.00+00
   4   2 0.00+00 7.77-02 7.43-02 5.93-02 4.49-02 3.18-02 1.99-02 1.46-02 1.15-02 0.00+00
   5   2 0.00+00 2.49-01 2.24-01 1.70-01 1.27-01 9.03-02 5.68-02 4.04-02 2.93-02 0.00+00
   6   2 3.43+09 1.67+00 1.63+00 1.61+00 1.65+00 1.74+00 1.96+00 2.20+00 2.48+00 4.62-01
   7   2 2.60+09 1.49+00 1.45+00 1.44+00 1.46+00 1.53+00 1.72+00 1.93+00 2.18+00 4.17-01
   8   2 6.49+09 4.10+00 4.08+00 4.11+00 4.23+00 4.48+00 5.06+00 5.69+00 6.44+00 1.26+00
   9   2 3.41+08 1.71-01 1.59-01 1.40-01 1.27-01 1.20-01 1.19-01 1.26-01 1.38-01 2.59-02
